id,display_name,barcode,price,brand,category
11551,555 Sardines in Tomato Sauce with Chili Can - 155g,748485200026,15.26,555,Canned Seafood
11552,555 Sardines in Tomato Sauce Can - 155g,748485200019,15.47,555,Canned Seafood
11553,555 Tuna Adobo Can - 155g,748485700014,21.4,555,Canned Seafood
11554,555 Tuna Afritada Can - 155g,748485700021,21.13,555,Canned Seafood
11555,555 Tuna Caldereta Can - 155g,748485700038,21.72,555,Canned Seafood
11556,555 Tuna Flakes Oil Can - 155g,748485700083,24.09,555,Canned Seafood
11557,555 Tuna Hot and Spicy Can - 155g,748485700052,23.95,555,Canned Seafood
11558,555 Tuna Mechado Can - 155g,748485700045,21.89,555,Canned Seafood
11559,Absolute Distilled Water Bottle - 6000ml,4800014700004,71.45,Absolute,Water
11561,Ajinomoto Crispy Fry Original Sachet - 30g,4801958460009,7.49,Ajinomoto,Seasonings and Mixes
11562,Ajinomoto Crispy Fry Original Sachet - 62g,4801958390108,11.45,Ajinomoto,Seasonings and Mixes
11564,Alaska Condensada Can - 168ml,4800575130166,24.89,Alaska,Milk
11565,Alaska Condensada Can - 300ml,4800575130302,39.19,Alaska,Milk
11566,Alaska Evaporada Can - 140ml,4800575140158,9.56,Alaska,Milk
11567,Alaska Evaporada Can - 370ml,4800575140370,23.28,Alaska,Milk
11568,Alaska Fortified Powdered Milk Drink Pouch - 165g,4800575141636,39.4,Alaska,Milk
11569,Alaska Fortified Powdered Milk Drink Tie - 6x33g,4800575142633,42.1,Alaska,Milk
11570,Alaska Fortified Powdered Milk Drink Pouch - 330g,4800575141612,75.33,Alaska,Milk
11571,Alaska Sweetened Condensed Filled Milk Can - 300ml,4800575120303,52.06,Alaska,Milk
11572,Angel Evaporada Liquid Creamer Can - 410ml,748485400716,18.99,Angel,Milk
11573,Argentina Beef Loaf Can - 150g,748485800738,15.34,Argentina,Packed Meat
11574,Argentina Corned Beef Can - 100g,748485801803,20.38,Argentina,Packed Meat
11575,Argentina Corned Beef Can - 150g,748485800431,29.04,Argentina,Packed Meat
11576,Argentina Corned Beef Can - 175g,748485800011,33.5,Argentina,Packed Meat
11577,Argentina Corned Beef Can - 260g,748485800035,49.23,Argentina,Packed Meat
11579,Argentina Meatloaf Can - 150g,748485801490,16.49,Argentina,Packed Meat
11580,Argentina Meatloaf Can - 170g,748485800233,17.68,Argentina,Packed Meat
11581,Argentina Meatloaf Can - 250g,748485800448,26.91,Argentina,Packed Meat
11582,Ariel Detergent Powder Downy Parfum Tie - 6x66g,4902430583183,60.67,Ariel,Laundry Products
11583,Ariel Detergent Powder Sunrise Fresh Tie- 6x70g,4902430583169,60.8,Ariel,Laundry Products
11584,Baygon Mosquito Coil Scented -12Sx150g Pack,4801234134426,14.75,Baygon,Cleaning Products
11585,Bear Brand Milk Powdered Choco Swak Pack - 29g,4800361409117,7.44,Bear Brand,Milk
11586,Bear Brand Milk Powdered Iron Sakto sa 3 Baso Pack - 99g,4800361397605,31.11,Bear Brand,Milk
11587,Bear Brand Milk Powdered Iron Pack - 150g,4800361381086,47.24,Bear Brand,Milk
11588,Bear Brand Milk Powdered Iron Pack - 320g,4800361410892,99.91,Bear Brand,Milk
11589,Bear Brand Milk Powdered Iron Tie - 8x33g,4800361410816,66.54,Bear Brand,Milk
11592,Bear Brand Sterilized Milk Liquid Pack - 200ml,4800361331500,21.01,Bear Brand,Milk
11593,Big 250 Apple Juice Tetra Pack - 250ml,4804888889735,6.73,Big 250,RTD
11594,Big 250 Grape Juice Tetra Pack - 250ml,4804888889759,6.25,Big 250,RTD
11595,Big 250 Mango Juice Tetra Pack - 250ml,4804888900089,6.74,Big 250,RTD
11596,Big 250 Orange Juice Tetra Pack - 250ml,4804888889711,6.58,Big 250,RTD
11597,Big 250 Pineapple Juice Tetra Pack - 250ml,4804888900096,6.32,Big 250,RTD
11598,Bonakid Milk Supplement 1-3 Years Old Pack - 180g,4800153100826,91.57,Bonakid,Milk
11600,Bonakid Milk Supplement 6-12 Months Pack - 180g,4800153149146,93.69,Bonamil,Milk
11602,Bonna Infant Formula 0-6 Months Pack - 180g,4800153149092,93.93,Bonna Infant,Milk
11603,Breeze Liquid Detergent Stain-Action Bula Tie - 6x64ml,8934868113034,58.69,Breeze,Laundry Products
11604,Breeze Powder Rose Gold Tie - 6x66g,4800888202765,59.37,Breeze,Laundry Products
11605,Breeze Powder ActivBleach Tie - 6x70g,4800888187840,59.78,Breeze,Laundry Products
11606,Butter Cream Crackers Pack - 10x25g,4800116043023,46.74,Butter Cream,Bread and Biscuits
11607,C2 Green Tea Apple Bottle - 1L,4800016052774,36.95,C2,RTD
11608,C2 Green Tea Apple Bottle - 355ml,4800016052040,16.1,C2,RTD
11609,C2 Grean Tea Apple Bottle - 500ml,4800016052132,23.62,C2,RTD
11610,C2 Green Tea Apple Solo Box - 24x230ml,14800016057073,234.0,C2,RTD
11611,C2 Green Tea Lemon Bottle - 1L,4800016052767,36.22,C2,RTD
11612,C2 Green Tea Lemon Bottle - 355ml,4800016052057,16.42,C2,RTD
11613,C2 Green Tea Lemon Bottle - 500ml,4800016052149,23.64,C2,RTD
